id_cliente;id_geografia;id_cliente_alternativa;primer_nombre;segundo_nombre;fecha_nacimiento;estado_civil;genero;correo;salario_mensual;cantidad_hijos;cantidad_hijos_en_casa;EnglishEducation;nivel_educativo;EnglishOccupation;ocupacion;casa_propia?;cantidad_autos;direccion1;direccion2;telefono;fecha_primera_compra;distancia_tienda_mas_cercana
11000;26;AW00011000;Jon;Yang;06/10/1971;C;Hombre;jon24@adventure-works.com;90000;2;0;Bachelors;Licenciatura;Professional;Profesional;1;0;3761 N. 14th St;;1 (11) 500 555-0162;19/01/2011;1-2 Km
11001;37;AW00011001;Eugene;Huang;10/05/1976;S;Hombre;eugene10@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Professional;Profesional;0;1;2243 W St.;;1 (11) 500 555-0110;15/01/2011;0-1 Km
11002;31;AW00011002;Ruben;Torres;09/02/1971;C;Hombre;ruben35@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Professional;Profesional;1;1;5844 Linden Land;;1 (11) 500 555-0184;07/01/2011;2-5 Km
11003;11;AW00011003;Christy;Zhu;14/08/1973;S;Mujer;christy12@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;1825 Village Pl.;;1 (11) 500 555-0162;29/12/2010;5-10 Km
11004;19;AW00011004;Elizabeth;Johnson;05/08/1979;S;Mujer;elizabeth5@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Professional;Profesional;1;4;7553 Harness Circle;;1 (11) 500 555-0131;23/01/2011;1-2 Km
11005;22;AW00011005;Julio;Ruiz;01/08/1976;S;Hombre;julio1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;1;1;7305 Humphrey Drive;;1 (11) 500 555-0151;30/12/2010;5-10 Km
11006;8;AW00011006;Janet;Alvarez;02/12/1976;S;Mujer;janet9@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;1;1;2612 Berry Dr;;1 (11) 500 555-0184;24/01/2011;5-10 Km
11007;40;AW00011007;Marco;Mehta;06/11/1969;C;Hombre;marco14@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Professional;Profesional;1;2;942 Brook Street;;1 (11) 500 555-0126;09/01/2011;0-1 Km
11008;32;AW00011008;Rob;Verhoff;04/07/1975;S;Mujer;rob4@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Professional;Profesional;1;3;624 Peabody Road;;1 (11) 500 555-0164;25/01/2011;10+ Km
11009;25;AW00011009;Shannon;Carlson;29/09/1969;S;Hombre;shannon38@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;3839 Northgate Road;;1 (11) 500 555-0110;27/01/2011;5-10 Km
11010;22;AW00011010;Jacquelyn;Suarez;05/08/1969;S;Mujer;jacquelyn20@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Professional;Profesional;0;1;7800 Corrinne Court;;1 (11) 500 555-0169;14/01/2011;5-10 Km
11011;22;AW00011011;Curtis;Lu;03/05/1969;C;Hombre;curtis9@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Professional;Profesional;1;4;1224 Shoenic;;1 (11) 500 555-0117;30/12/2010;10+ Km
11012;611;AW00011012;Lauren;Walker;14/01/1979;C;Mujer;lauren41@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Management;Gestión;1;2;4785 Scott Street;;717-555-0164;16/03/2013;1-2 Km
11013;543;AW00011013;Ian;Jenkins;03/08/1979;C;Hombre;ian47@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Management;Gestión;1;3;7902 Hudson Ave.;;817-555-0185;13/04/2013;0-1 Km
11014;634;AW00011014;Sydney;Bennett;06/11/1973;S;Mujer;sydney23@adventure-works.com;100000;3;0;Bachelors;Licenciatura;Management;Gestión;0;3;9011 Tank Drive;;431-555-0156;23/03/2013;1-2 Km
11015;301;AW00011015;Chloe;Young;26/08/1984;S;Mujer;chloe23@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;0;1;244 Willow Pass Road;;208-555-0142;18/01/2013;5-10 Km
11016;329;AW00011016;Wyatt;Hill;25/10/1984;C;Hombre;wyatt32@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;9666 Northridge Ct.;;135-555-0171;09/02/2013;5-10 Km
11017;39;AW00011017;Shannon;Wang;24/12/1949;S;Mujer;shannon1@adventure-works.com;20000;4;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;1;2;7330 Saddlehill Lane;;1 (11) 500 555-0195;12/01/2011;5-10 Km
11018;32;AW00011018;Clarence;Rai;06/10/1955;S;Hombre;clarence32@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Clerical;Administrativo;1;2;244 Rivewview;;1 (11) 500 555-0137;17/01/2011;5-10 Km
11019;52;AW00011019;Luke;Lal;04/09/1983;S;Hombre;luke18@adventure-works.com;40000;0;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;7832 Landing Dr;;262-555-0112;12/02/2013;5-10 Km
11020;53;AW00011020;Jordan;King;19/03/1984;S;Hombre;jordan73@adventure-works.com;40000;0;0;High School;Educación secundaria;Skilled Manual;Obrero especializado;0;2;7156 Rose Dr.;;550-555-0163;29/12/2012;1-2 Km
11021;536;AW00011021;Destiny;Wilson;02/03/1984;S;Mujer;destiny7@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;0;1;8148 W. Lake Dr.;;622-555-0158;23/01/2013;1-2 Km
11022;609;AW00011022;Ethan;Zhang;10/04/1984;C;Hombre;ethan20@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Skilled Manual;Obrero especializado;1;1;1769 Nicholas Drive;;589-555-0185;20/01/2013;5-10 Km
